Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
Executive Leadership,Risk Committee Pack (Enterprise Risk),#111827 #F8FAFC #94A3B8 #EF4444 #F59E0B,"Formal sans, control-tag labels","Shield, warning, checklist, control tags","Risk register lane, top risks tiles, mitigations column","Risk matrix, trend lines, control coverage bars",Light gray with thin rules,"Alarmist visuals, dense microtext","“Executive risk committee slide, top risk tiles with risk register lane and mitigations column, shield and warning icons, risk matrix and control coverage bars with trends, neutral palette with controlled red/amber accents, thin-rule background, crisp readable.”"
Executive Leadership,"Operating Model (Org, Process, Tech)",#FFFFFF #111827 #1D4ED8 #0F766E #CBD5E1,"Clear sans, structured","Org chart blocks (generic), process arrows, tech stack","3-layer stack, RACI mini-table, handoffs strip","Coverage bars, process cycle time, maturity radar (minimal)",Light micro-grid,"Real org chart names, complex clutter","“Executive operating model slide, three-layer stack (org process tech) with RACI mini-table and handoffs strip, clean typography, process and stack icons, coverage bars and cycle-time trend with minimal maturity radar, subtle micro-grid background, crisp readable, no real names.”"
Executive Leadership,Capital Allocation Brief (Portfolio View),#FFFFFF #111827 #1D4ED8 #16A34A #F59E0B,"Finance-friendly sans, conservative","Coin stack, pie slice, tag, portfolio grid","Portfolio matrix, investment buckets, decisions column","Allocation donut, ROI bars, waterfall",Clean white with thin rules,"Real confidential numbers, flashy gradients","“Executive capital allocation slide, portfolio matrix with investment buckets and decision column, finance-friendly typography, allocation donut and ROI bars with waterfall, clean ruled background, crisp readable, no confidential identifiers.”"
Executive Leadership,Culture and Values (Leadership Narrative),#FFFBF2 #111827 #3B82F6 #22C55E #F59E0B,"Warm sans, storytelling headers","People, heart, star, speech bubbles","Value cards, story strips, quote callouts","Engagement trend, pulse survey bars, value adoption tiles",Soft paper texture,"Corporate stock-photo vibe, clichés","“Executive culture and values slide, warm storytelling layout with value cards and quote callouts, clean typography, people and heart icons, engagement trend and pulse survey bars, soft paper background, crisp readable, avoid clichés and stock-photo look.”"
Executive Leadership,CEO Vision Keynote (Hero Minimal),#0B1220 #FFFFFF #CBD5E1 #1E3A8A #D4AF37,"Modern sans, oversized headlines, minimal body","Compass, horizon line, star, simple arrows","Big hero headline zone, 1–2 supporting cards, wide whitespace",1 primary chart per slide: trend line or KPI tiles,Clean white with faint diagonal watermark,"Dense paragraphs, cluttered charts, logos","“CEO vision keynote slide, hero minimal layout with oversized headline and wide whitespace, deep navy and charcoal with restrained gold accent, simple compass and horizon icons, single primary chart (trend or KPI tiles), crisp vector, high readability, no logos.”"
Finance & Banking,Private Banking Premium,#0A0A0A #FFFBF2 #D6C7A1 #065F46 #CBD5E1,High-contrast serif headlines + minimalist sans labels,"Minimal arrows, shield, portfolio, building (thin-line)",Editorial grid; large KPI tiles; ample margins,Thin-line charts; minimal gridlines; elegant legends,Ivory paper + subtle grain,Neon; busy UI; playful stickers,"Private banking premium infographic, elegant serif headlines, ivory grain background, minimalist thin-line charts, restrained palette, large KPI tiles, clean hierarchy, minimal text."
Finance & Banking,FinTech Neon Clean,#05070A #111827 #22D3EE #8B5CF6 #22C55E #F8FAFC,Sleek sans; numeric-focused; subtle glow on headings,"Wallet, QR, lightning, graph, shield (thin-line)",Modular panels; gradient accent strips; feature tiles,Glowing line charts; segmented bars; KPI chips,Dark gradient mesh + bokeh blur,Paper textures; vintage effects,"Fintech neon infographic slide, dark modern UI panels, cyan and violet accents, sleek typography, modular feature tiles, glowing line charts and KPI chips, gradient mesh background, crisp vector, minimal text."
Finance & Banking,Retail Banking Branch (Trust),#FFFFFF #E5E7EB #111827 #2563EB #16A34A #DC2626,Modern sans; clear numeric emphasis,"ATM, card, piggy bank, phone, lock (filled)",Service blocks; benefit callouts; step-by-step process,Comparison bars; rate tables; sparklines,Clean white + faint diagonal watermark,Dense jargon text; low contrast,"Retail banking infographic slide, clean white layout, service blocks and benefit callouts, modern sans typography, simple banking icons, comparison bars and rate tables, minimal clutter, high readability."
Finance & Banking,Investor Update (Quarterly Board),#0B1220 #FFFFFF #CBD5E1 #2563EB #16A34A #DC2626,Condensed headlines; tight numeric tables,"Up/down arrows, calendar, target, pie, note",Top KPI strip; 3-panel performance zone; notes footer,Revenue bars; margin lines; funnel; sparklines,Clean white with subtle grid,Over-stylized textures; cluttered legends,"Quarterly investor update infographic slide, KPI header strip, three-panel performance layout, tight tables, revenue bars and margin lines, pipeline funnel, clean readable design."
Finance & Banking,Risk & Compliance (Auditâ€‘Ready),#FFFFFF #F5F5F4 #111827 #6B7280 #7F1D1D #1E3A8A,Strict sans headers; optional serif body; numbered sections,"Checklist, gavel, warning, document, shield",Formal columns; controls matrix; findings callouts,Risk heatmap matrix; coverage bars; audit tables,Light paper + thin rule lines,Cute icons; decorative gradients,"Risk and compliance infographic, audit-ready numbered layout, controls matrix and findings callouts, conservative palette, risk heatmap and coverage bars, crisp tables, minimal decoration."
Food & Beverage,Tea House Zen,#FAF7F0 #1F2937 #0F766E #86A789 #E7D3B0,Minimal sans + light serif headings,"Teapot, leaf, steam, cup, timer (thin-line)",Vertical ritual steps; quiet whitespace; small tags,Steeping time bands; flavor mini-bars,Rice paper fibers (subtle),Neon; busy patterns; thick borders,"Tea house zen infographic, calm whitespace, rice paper texture, minimal tea icons, vertical ritual steps, steeping time bands, muted natural palette, clean and serene."
Food & Beverage,Coffee Roastery Minimal,#FFF7ED #3F2A1D #7C4A2D #CBD5E1 #F59E0B,Elegant serif headings + clean sans tasting notes,"Bean, grinder, cup, aroma lines, map pin",Tasting wheel panel; roast profile strip; origin inset,Roast curve line; flavor radar (simple); brew ratio table,Light paper grain + subtle speckle,Loud colors; cluttered icon sets,"Coffee roastery infographic, warm espresso palette on light paper, tasting wheel and roast profile strip, elegant serif headers, clean icons, roast curve and brew ratio table, minimal and premium."
Food & Beverage,Farm-to-Table Fresh,#FAF7F0 #14532D #22C55E #E7D3B0 #C2410C,Friendly sans + organic serif accent,"Leaf, basket, farm, fork, sprout (woodcut-inspired)",Ingredient spotlight cards; provenance timeline; stamp badges,Season bands; nutrition bars; simple pies,Recycled paper texture,Glossy neon; heavy industrial blocks,"Farm-to-table infographic slide, recycled paper texture, earthy palette, woodcut icons, ingredient cards and provenance timeline, simple nutrition charts, warm organic feel, minimal text."
Food & Beverage,Bakery Pastel,#FFFBF2 #FDA4AF #FCD34D #93C5FD #111827,Rounded sans; playful but readable,"Croissant, whisk, cake slice, oven, sprinkle dots",Menu-style sections; badge callouts; recipe blocks,Prep timeline; portion bars; ingredient proportions,Subtle flour-dust texture,Dark moody palettes; harsh industrial styling,"Bakery pastel infographic, soft warm palette, menu sections with badge callouts, rounded typography, simple bakery icons, prep timeline and portion charts, subtle flour texture."
Food & Beverage,Street Food Bold,#111827 #FFFFFF #F97316 #22C55E #60A5FA #FACC15,Bold condensed headers; punchy labels,"Food truck, flame, skewer, chat bubble, location pin",Poster blocks; loud callouts; price badges,Popularity bars; heat meter; comparison cards,Subtle paper + halftone (low),Delicate thin fonts; muted luxury look,"Street food bold infographic, poster-style blocks, bold condensed typography, bright accents, food truck icons, popularity bars and heat meter, subtle halftone texture, energetic and readable."
Futuristic & Space,Sciâ€‘Fi HUD (Neon Interface),#05070A #00E5FF #FF2BD6 #7C3AED #F59E0B,Techno sans; numeric emphasis,"HUD glyphs, reticles, corner brackets, circuit motifs",Modular panels; overlay lines; bracket corners,Glowing strokes; segmented bars; dotted grid,Dark; faint scanlines + star speckle,Warm paper textures; photoreal elements; clutter,"Sci-fi HUD infographic slide, dark interface, neon cyan/magenta/purple accents, modular panels with corner brackets, glowing charts, circuit glyph icons, scanlines, high contrast, minimal text."
Futuristic & Space,Retro Futurism (Midâ€‘Century Space Age),#FFF1D6 #2DD4BF #FB923C #EF4444 #111827,Mid-century geometric sans,Atomic stars; boomerangs; orbit rings,Rounded capsules; angled separators; playful geometry,Chunky simplified geometric charts,Subtle halftone + paper grain,Glass UI; photoreal,"Retro-futurist infographic, cream paper with halftone texture, capsule shapes and atomic iconography, geometric charts, 1950s space-age vibe."
Futuristic & Space,Space Mission Control (NASAâ€‘Inspired),#030712 #1F2937 #F9FAFB #38BDF8 #EF4444,Condensed sans; label-heavy; numeric emphasis,Orbit lines; telemetry symbols; mission patch-style shapes (generic),Status panels; readout tiles; timeline strips,Telemetry lines; sparklines; dot markers,Dark panels with subtle noise,Cute icons; clutter; photoreal,"Space mission control infographic, status panels and telemetry readouts, condensed technical typography, orbit-line icons, timelines and sparklines, deep space palette, crisp and readable."
Gaming & Esports,Streamer Kit Minimal (Creator Dashboard),#0B1220 #F8FAFC #3B82F6 #22C55E #A855F7,UI sans; big numbers for subs/followers,"Chat, mic, camera, heart, analytics",Dashboard cards; alert feed; schedule strip,Growth lines; engagement bars; retention sparkline,Dark gradient + subtle noise,Excessive neon glow; cluttered overlays,"Streamer creator dashboard infographic, clean dark UI cards, alert feed and schedule strip, growth and engagement charts, modern typography, minimal clutter, crisp readability."
Gaming & Esports,Retro Arcade Pixel (Scoreboard),#0B0F19 #F9FAFB #22C55E #22D3EE #FB7185 #FDE047,Pixel font feel; bold labels,"8-bit heart, coin, joystick, star, sprite",Tile windows; pixel borders; score blocks,Pixel bar charts; blocky line graphs,CRT scanlines + subtle vignette,Smooth gradients; photoreal textures,"Retro arcade pixel infographic, 8-bit tile UI, pixel borders and icons, score blocks, pixel charts, CRT scanlines, bright palette on dark base, clean labels."
